date,total_tests,new_tests,total_cases,new_cases,total_deaths,new_deaths,total_recovered,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests_per_thousand,new_tests_per_thousand,,,,,,
7-Jun,397987,13136,63026,2635,846,35,13903,382.696,16,5.137,0.213,2.417,0.08,,,,,,
8-Jun,410931,12944,65769,2743,888,42,14560,399.352,16.656,5.392,0.255,2.495,0.079,,,,,,
9-Jun,425495,14564,68504,2735,930,42,15337,415.959,16.607,5.647,0.255,2.584,0.088,,,,,,
10-Jun,441560,16065,71675,3171,975,45,15900,435.213,19.254,5.92,0.273,2.681,0.098,,,,,,
11-Jun,457332,15772,74865,3190,1012,37,16747,454.583,19.37,6.145,0.225,2.777,0.096,,,,,,
12-Jun,473322,15990,78052,3187,1049,37,17249,473.935,19.352,6.37,0.225,2.874,0.097,,,,,,
13-Jun,489960,16638,81523,3471,1095,46,17827,495.011,21.076,6.649,0.279,2.975,0.101,,,,,,
14-Jun,504465,14505,84379,2856,1139,44,18730,512.352,17.342,6.916,0.267,3.063,0.088,,,,,,
15-Jun,519503,15038,87520,3141,1171,32,34027,531.425,19.072,7.11,0.194,3.154,0.091,,,,,,
16-Jun,536717,17214,90619,3099,1209,38,36264,550.242,18.817,7.341,0.231,3.259,0.105,,,,,,
17-Jun,554244,17527,94481,3862,1262,53,38189,573.692,23.45,7.663,0.322,3.365,0.106,,,,,,
18-Jun,570503,16259,98489,4008,1305,43,40164,598.029,24.337,7.924,0.261,3.464,0.099,,,,,,
19-Jun,582548,12045,102292,3803,1343,38,42945,621.121,23.092,8.155,0.231,3.537,0.073,,,,,,
20-Jun,599579,17031,105535,3243,1388,45,43993,640.812,19.692,8.428,0.273,3.641,0.103,,,,,,
21-Jun,615164,15585,108775,3240,1425,37,45077,660.486,19.673,8.653,0.225,3.735,0.095,,,,,,
22-Jun,630719,15555,112306,3531,1464,39,46755,681.926,21.44,8.889,0.237,3.83,0.094,,,,,,
23-Jun,647011,16292,115786,3480,1502,38,47635,703.057,21.131,9.12,0.231,3.929,0.099,,,,,,
24-Jun,663444,16433,119198,3412,1545,43,49666,723.775,20.718,9.381,0.261,4.028,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
